listing_id,url,title,make,model,year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,city,assembly,registered_in,seller_type,car_age,mileage_per_year,price_per_cc,is_imported,listing_province,registered_province,registered_matches_listing
11867927.0,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-11867927,Honda Civic 2018 for sale in Karachi,Honda,Civic,2018,4700000.0,70000.0,Petrol,Automatic,1800.0,Karachi,Local,Karachi,Dealer,8,8750.0,2611.1111111111113,0.0,Sindh,Sindh,True
11867926.0,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-karachi-11867926,Suzuki Alto 2026 for sale in Karachi,Suzuki,Alto,2026,3100000.0,15000.0,Petrol,Manual,660.0,Karachi,Local,Karachi,Dealer,0,15000.0,4696.969696969697,0.0,Sindh,Sindh,True
11867924.0,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-lahore-11867924,Honda City 2025 for sale in Lahore,Honda,City,2025,5075000.0,21000.0,Petrol,Automatic,1200.0,Lahore,Local,Islamabad,Dealer,1,21000.0,4229.166666666667,0.0,Punjab,Islamabad,False
11867919.0,https://www.pakwheels.com/used-cars/honda-n-wgn-2018-for-sale-in-multan-11867919,Honda N Wgn 2018 for sale in Multan,Honda,N Wgn,2018,2550000.0,122000.0,Petrol,Automatic,660.0,Multan,Imported,Lahore,Dealer,8,15250.0,3863.6363636363635,1.0,Punjab,Punjab,True
11867916.0,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-faisalabad-11867916,Suzuki Wagon R 2019 for sale in Faisalabad,Suzuki,Wagon R,2019,2375000.0,82500.0,Petrol,Manual,1000.0,Faisalabad,Local,Islamabad,Dealer,7,11785.714285714286,2375.0,0.0,Punjab,Islamabad,False
11867917.0,https://www.pakwheels.com/used-cars/toyota-sienta-2017-for-sale-in-peshawar-11867917,Toyota Sienta 2017 for sale in Peshawar,Toyota,Sienta,2017,5650000.0,350005.0,Hybrid,Automatic,1500.0,Peshawar,Imported,Islamabad,Dealer,9,38889.444444444445,3766.6666666666665,1.0,KPK,Islamabad,False
11867913.0,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-lahore-11867913,Honda Civic 2025 for sale in Lahore,Honda,Civic,2025,9750000.0,5500.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,1,5500.0,6500.0,0.0,Punjab,Punjab,True
11828941.0,https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-lahore-11828941,Toyota Fortuner 2022 for sale in Lahore,Toyota,Fortuner,2022,15500000.0,36000.0,Diesel,Automatic,2800.0,Lahore,Local,Punjab,Dealer,4,9000.0,5535.714285714285,0.0,Punjab,Punjab,True
11867910.0,https://www.pakwheels.com/used-cars/suzuki-ravi-2010-for-sale-in-karachi-11867910,Suzuki Ravi 2010 for sale in Karachi,Suzuki,Ravi,2010,810000.0,50000.0,Petrol,Manual,800.0,Karachi,Local,Karachi,Dealer,16,3125.0,1012.5,0.0,Sindh,Sindh,True
11867907.0,https://www.pakwheels.com/used-cars/suzuki-swift-2014-for-sale-in-lahore-11867907,Suzuki Swift 2014 for sale in Lahore,Suzuki,Swift,2014,2150000.0,160000.0,Petrol,Manual,1300.0,Lahore,Local,Punjab,Dealer,12,13333.333333333334,1653.8461538461538,0.0,Punjab,Punjab,True
11789131.0,https://www.pakwheels.com/used-cars/nissan-note-2022-for-sale-in-gujranwala-11789131,Nissan Note 2022 for sale in Gujranwala,Nissan,Note,2022,6050000.0,33000.0,Hybrid,Automatic,1198.0,Gujranwala,Imported,Punjab,Dealer,4,8250.0,5050.08347245409,1.0,Punjab,Punjab,True
11733551.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2004-for-sale-in-karachi-11733551,Suzuki Cultus 2004 for sale in Karachi,Suzuki,Cultus,2004,1150000.0,24061.0,Petrol,Manual,1000.0,Karachi,Local,Sindh,Dealer,22,1093.6818181818182,1150.0,0.0,Sindh,Sindh,True
11464805.0,https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-islamabad-11464805,Honda BR-V 2022 for sale in Islamabad,Honda,BR-V,2022,5548999.0,87946.0,Petrol,Automatic,1500.0,Islamabad,Local,Islamabad,Dealer,4,21986.5,3699.3326666666667,0.0,Islamabad,Islamabad,True
11866294.0,https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-peshawar-11866294,Toyota C-HR 2018 for sale in Peshawar,Toyota,C-HR,2018,7390000.0,86000.0,Hybrid,Automatic,1800.0,Peshawar,Imported,Punjab,Dealer,8,10750.0,4105.555555555556,1.0,KPK,Punjab,False
11740945.0,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-gujranwala-11740945,KIA Sportage 2020 for sale in Gujranwala,KIA,Sportage,2020,6300000.0,80911.0,Petrol,Automatic,2000.0,Gujranwala,Local,Islamabad,Dealer,6,13485.166666666666,3150.0,0.0,Punjab,Islamabad,False
11717153.0,https://www.pakwheels.com/used-cars/mg-hs-2023-for-sale-in-gujranwala-11717153,MG HS 2023 for sale in Gujranwala,MG,HS,2023,6250000.0,67743.0,Petrol,Automatic,1500.0,Gujranwala,Imported,Islamabad,Dealer,3,22581.0,4166.666666666667,1.0,Punjab,Islamabad,False
11814509.0,https://www.pakwheels.com/used-cars/dfsk-glory-580-2020-for-sale-in-islamabad-11814509,DFSK Glory 580 2020 for sale in Islamabad,DFSK,Glory 580,2020,4900000.0,65000.0,Petrol,Automatic,1800.0,Islamabad,Local,Islamabad,Dealer,6,10833.333333333334,2722.222222222222,0.0,Islamabad,Islamabad,True
11841054.0,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-karachi-11841054,BMW X1 2017 for sale in Karachi,BMW,X1,2017,9000000.0,24079.0,Petrol,Automatic,1500.0,Karachi,Imported,Sindh,Dealer,9,2675.4444444444443,6000.0,1.0,Sindh,Sindh,True
